player_name,variety,card_number,set,year,image_url,total_graded
Aaron Ekblad,Base,225,Upper Deck,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkU4ZVdIK0xOTmJxUjNNVDF4Z09lbUE9PSIsInZhbHVlIjoiaHNnU2RHUDVvYU05akMycGN6Y0dvbmtwMjhFbDRBTlJoOWlyWWdzUE1CUDZpdFcrSS91aXBWWGhRZE5FUzFOWkErcHVUQ0FLdWhYenpReGFxQnJmV1E9PSIsIm1hYyI6IjczZjE4YjRlNjdmZDlkYWU5NWZhYTUzMjU2YmFlMjEzYmE4ZWNmNzdmYjA1M2Y2Zjk4OTJmMjdjYjhkNGU5MWUifQ==,241
Aaron Judge,Autograph,346A,Topps Now,2017,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjZjL21WWVBXSVo2L3VvTlpaWFh1aHc9PSIsInZhbHVlIjoicnJhdEZ6QU1BUmRaZzMzUVNTVjkzeHErVTBSUTFWT3VvcTN4WDdmZVBHNHk1TTY5UGhPczF5TmVhVDRxK09YSm5lWjNxREVYanZDeE1qeXRHYU9GcHc9PSIsIm1hYyI6ImU0ZTQwYmY2OWY4NWFjNWE0Mjg4ZGRmMzg0ZjM5ZThkOTRhZTk1ZDg2MTBjZGE4OWE4ZGNhMGZkNzllNjkxZDUifQ==,27
Aaron Judge,Base,BDPP19,Bowman Chrome Draft Picks & Prospects,2013,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjJiNjEwaFF4UnI4YXEvZnc3dlhZZkE9PSIsInZhbHVlIjoiNVVZend0amVmN3FoWGs1dUtlQVlraFQxT05YQXJuSUJJa0ZNdWhCN3pKTnFaVFd1aE00MmpaZGQvVUMwRnB2UXROdms0YkhCUHhvQTNEZW0rT1ZRaEE9PSIsIm1hYyI6IjM2ZGZhYjUwMmExZmM2ZTUzYzI0YTdhNGUxYjRhN2E5NGY1MmRjN2QzZGRkMjFlN2M5MzNlMzk1MzRiODkyMzMiLCJ0YWciOiIifQ==,3092
Aaron Rodgers,Base,162,Leaf Certified Materials,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InI2SXZuc0Q5RDFBQWROYTdSRS8vRXc9PSIsInZhbHVlIjoiUDVJZk0vMVA1bGs2Ym9XNlBsK2ZLU0NqWC91TWZxMnRBV3hMaWZLZDdnY3RFRlk4WktoN1ZNRVhxVU4zT01NSzNuU1JJTmxVRGZvdE5UaTZ5Um9mVVE9PSIsIm1hYyI6IjlkZjcyMzYxNTdjYTgwNzdlNWI1MzZkMzA0OTRkZjQ1NDUzY2IxNjgzOTBlMzAyZjk4Nzg4NDNhZjlhOTcyZWIifQ==,145
Aaron Rodgers,Base,202,Upper Deck,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InZhK2JFRlRoRlhwMHdCZmJOM1hkdlE9PSIsInZhbHVlIjoiMFcwZDhCMFA0c00vTUQraWcwZGw4YkxocE9DWlduWXlRaWE4Rkk4RThSSlFtU3FFdWYra3VsVGtIMTcrVDI3Mm85RC95VXRhN29SVmFFWmhYKzhiQXc9PSIsIm1hYyI6IjAwNjkxOTBlOWRiN2M0ZjFmN2U5ZTMxMDlhM2RjYTMyNmY0NDNjNTViZjAwNjM1ZGVlMDZhZjM1MmJlOWNiOGMifQ==,366
Aaron Rodgers,Base,NFL4,Upper Deck 26th National,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImdYUEkzdnNlV1RBWUR3OGhJdU9FbkE9PSIsInZhbHVlIjoiWGh0NlQyZkhvdmZwK0hUL1U0eTE3czN6OVFqcjZjMTdSSkV3ZjlKSzNaRHp4TFRkVkM2VGd2aGVQNWVWMnl5YUVNZDRqSGhUN1hkMy9UR0NrNnpjWEE9PSIsIm1hYyI6ImVkMjQ0OGJlZGRkYmY5YTY3OTY1ZGI1MzY3M2E0ZmViZWVhNTA3YzQ5MWJlYjBlZWNmZDAyOTE4YzBiMTBmYTcifQ==,70
Adam Larsson,Base,227,Upper Deck,2011,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkdpNVZ3WENYdm8vL2RERmpOak5CZ1E9PSIsInZhbHVlIjoiRTR6VS90cktrS1IxSHpmMWhGZjY2OEU3WEJyV0R4SDlYbHp4NC9pUUt4TT0iLCJtYWMiOiJiZTc1MTlhMjdiZTY4MzU3ZmQwZTI3OWI3M2EzOTdkZjNkZTgyNDVkNmNmNjI4Y2NlNDM3YzViNzM1MjRkMjM3In0=,68
Adrian Peterson,Base,279,Upper Deck,2007,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InBseHdqMXovU3ZFdUxNMWNQYTVwcGc9PSIsInZhbHVlIjoiU1RSdmdRazFoZGNQNGZJWGptbVIrajM0VE9GOGpCNDRlNURLNWw3bUx4N0I2a2dPeVZxUTREMmJWU1pyeEM2b1ZvK2lnZUZqMmxicXpFazlRWEZVTlE9PSIsIm1hYyI6IjgzZTBiYTUwNjVlZjkyMTQ3OTRjODhiZmM5YzU2YTQ1MjcwZWEyNzJiMDlhNGU1MGQwNWZmZDg3NzkyZWMyMzEifQ==,376
Albert Pujols,Base,RDK-3,Donruss Rookie Diamond Kings,2001,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ik9RZmNEaGxIRmgwUFZGZ3JmSm9xWEE9PSIsInZhbHVlIjoiWW91SHlTdVpGZjMwRzFFUHNXSThwb0JnVHdiMHJvRndLSzVHMCt2U0drdz0iLCJtYWMiOiIzNjU2ZjBkNDhjZmI1NDUyM2IyZWE5ODEwNWYzZDY0ZjE0OGM5MTdiNGY4Y2M5YzgwMThkOTY2ZWY1YzgwMjNmIn0=,236
Alex Bregman,Base,75,Bowman,2017,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IitsaE5lbGVjcFVvbXVrSmR2YVV1Wmc9PSIsInZhbHVlIjoiRHBoa2xjaW4waXMyTGJYbEJuc2l5dTdrN0FMWHdsVjFVeXZBZllGSjgvWVN2WjgzYXJ3SEY3WVBScmlQQm1LVyIsIm1hYyI6ImU4YmFmMDNkY2I5M2YxNDgxZjZjOGYyZDY4Y2MyNjE2Yzk2ZmI5ZGIzN2E1YTAzOWE0ODE1Y2ExZDQ4Y2Q1MjUifQ==,416
